PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"ReportFTPDistribution","ReportFTPDistribution","Yes","No","None"
"RequestAccessToken","RequestAccessToken","Yes","Yes","None"
"RequestEmployeeForProject","RequestEmployeeForProject","Yes","No","None"
"RequestNewAccount","RequestNewAccount","Yes","No","None"
"RequestNewAsset","RequestNewAsset","Yes","No","None"
"RequestNewCustodialRecord","RequestNewCustodialRecord","Yes","No","None"
"RequestNewCustomer","RequestNewCustomer","Yes","No","None"
"RequestNewFEGDimensions","RequestNewFEGDimensions","Yes","No","None"
"RequestNewInvoicePayment","RequestNewInvoicePayment","Yes","No","None"
"RequestNewItem","RequestNewItem","Yes","No","None"
"RequestNewItemLocation","RequestNewItemLocation","Yes","No","None"
"RequestNewPostingProject","RequestNewPostingProject","Yes","No","None"
"RequestNewSummaryProject","RequestNewSummaryProject","Yes","No","None"
"RequestNewVendor","RequestNewVendor","Yes","No","None"
"RequestNewVendorLocation","RequestNewVendorLocation","Yes","No","None"
"RequestProjectStatusChange","RequestProjectStatusChange","Yes","No","None"
"RequestUpdateAccount","RequestUpdateAccount","Yes","No","None"
"RequestUpdateCustomer","RequestUpdateCustomer","Yes","No","None"
"RequestUpdateItem","RequestUpdateItem","Yes","No","None"
"RequestUpdateVendor","RequestUpdateVendor","Yes","No","None"
"RequestUpdateVendorLocation","RequestUpdateVendorLocation","Yes","No","None"
"RequisitionApproval","RequisitionApproval","Yes","No","None"
"RequisitionApprovalGetEmailContent","RequisitionApprovalGetEmailContent","Yes","Yes","None"
"RequisitionLineApproval","RequisitionLineApproval","Yes","No","None"
"ReverseProjectContractInvoiceApproval","ReverseProjectContractInvoiceApproval","Yes","No","None"
"ReverseProjectContractRevenueApproval","ReverseProjectContractRevenueApproval","Yes","No","None"
"SyncBai2BankStatementData","SyncBai2BankStatementData","Yes","No","None"
"SyncBai2BankStatementData_PGP","SyncBai2BankStatementData_PGP","Yes","No","None"
"SyncCAMT053BankStatementData","SyncCAMT053BankStatementData","Yes","No","None"
"SyncCAMT05XBankStatementData","SyncCAMT05XBankStatementData","Yes","No","None"
"SyncCSVBankStatementData","SyncCSVBankStatementData","Yes","No","None"
"SyncMT940BankStatementData","SyncMT940BankStatementData","Yes","No","None"
"SyncMT940BankStatementData_PGP","SyncMT940BankStatementData_PGP","Yes","No","None"
"SyncMT942BankStatementData","SyncMT942BankStatementData","Yes","No","None"
"SyncMT942BankStatementData_PGP","SyncMT942BankStatementData_PGP","Yes","No","None"
"SyncProcurementCardMaster","SyncProcurementCardMaster","Yes","No","None"
"SyncProcurementCardVisa","SyncProcurementCardVisa","Yes","No","None"
"TransactionApprovalProcessor","TransactionApprovalProcessor","Yes","No","None"
"UpdateIONSchemas","UpdateIONSchemas","Yes","No","None"
"UpdateLibraryTerm","UpdateLibraryTerm","Yes","No","None"
"UpgradeAutomation-CreateExecuteWorkflowSubProcess","UpgradeAutomation-CreateExecuteWorkflowSubProcess","Yes","Yes","None"
"VizientToInforContractGPO","VizientToInforContractGPO","Yes","No","None"
"VizientToInforContractGPO_V2","VizientToInforContractGPO_V2","Yes","No","None"
"VizientToInforContractGPO_V3","VizientToInforContractGPO_V3","Yes","No","None"
"WireTransferApproval","WireTransferApproval","Yes","No","None"
"WorkOrderApproval","WorkOrderApproval","Yes","No","None"
"cmcontfinalappr","cmcontfinalappr","Yes","No","None"
"cmcontractappr","cmcontractappr","Yes","No","None"
"seapproval","seapproval","Yes","No","None"
"seawardapproval","seawardapproval","Yes","No","None"
"supplierappr","supplierappr","Yes","No","None"
"Total",,,,
