PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"FSM_ION_CustomerOrderQuoteAlert","FSM_ION_CustomerOrderQuoteAlert","Yes","No","None"
"FSM_ION_CustomerOrderReturnAlert","FSM_ION_CustomerOrderReturnAlert","Yes","No","None"
"FSM_ION_ErrorSuspenseAlert","FSM_ION_ErrorSuspenseAlert","Yes","No","None"
"FSM_ION_InspectionItemRejectedAlert","FSM_ION_InspectionItemRejectedAlert","Yes","No","None"
"FSM_ION_InspectionReqAlert","FSM_ION_InspectionReqAlert","Yes","No","None"
"FSM_ION_LoadBankStatement_Inbound","FSM_ION_LoadBankStatement_Inbound","Yes","No","None"
"FSM_ION_LoadReceiveDelivery_Inbound","FSM_ION_LoadReceiveDelivery_Inbound","Yes","No","None"
"FSM_ION_LoadSupplierInvoice_Inbound","FSM_ION_LoadSupplierInvoice_Inbound","Yes","No","None"
"FSM_ION_MatchInvoiceImportAlert","FSM_ION_MatchInvoiceImportAlert","Yes","No","None"
"FSM_ION_OrderEntryBackOrderAlert","FSM_ION_OrderEntryBackOrderAlert","Yes","No","None"
"FSM_ION_POContractNotifyAlert","FSM_ION_POContractNotifyAlert","Yes","No","None"
"FSM_ION_POCostMsgAlert","FSM_ION_POCostMsgAlert","Yes","No","None"
"FSM_ION_POOverShipClearedAlert","FSM_ION_POOverShipClearedAlert","Yes","No","None"
"FSM_ION_POOverShipExistsAlert","FSM_ION_POOverShipExistsAlert","Yes","No","None"
"FSM_ION_PcardChargeDisputeAlert","FSM_ION_PcardChargeDisputeAlert","Yes","No","None"
"FSM_ION_PcardChargeRejectedAlert","FSM_ION_PcardChargeRejectedAlert","Yes","No","None"
"FSM_ION_PcardChargeReleasedAlert","FSM_ION_PcardChargeReleasedAlert","Yes","No","None"
"FSM_ION_ProcessAPInvoiceCSV_Inbound","FSM_ION_ProcessAPInvoiceCSV_Inbound","Yes","No","None"
"FSM_ION_ProcessARInvoiceCSV_Inbound","FSM_ION_ProcessARInvoiceCSV_Inbound","Yes","No","None"
"FSM_ION_ProcessAdvanceShipNotice_Out","FSM_ION_ProcessAdvanceShipNotice_Out","Yes","No","None"
"FSM_ION_ProcessAssetMaster_Out","FSM_ION_ProcessAssetMaster_Out","Yes","No","None"
"FSM_ION_ProcessBROrderToInv_Outbound","FSM_ION_ProcessBROrderToInv_Outbound","Yes","No","None"
"FSM_ION_ProcessBROrdertoReceipt_Outbound","FSM_ION_ProcessBROrdertoReceipt_Outbound","Yes","No","None"
"FSM_ION_ProcessBankStatement_Inbound","FSM_ION_ProcessBankStatement_Inbound","Yes","No","None"
"FSM_ION_ProcessBillToPartyMaster_Inbound","FSM_ION_ProcessBillToPartyMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessBillToPartyMaster_Outbound","FSM_ION_ProcessBillToPartyMaster_Outbound","Yes","No","None"
"FSM_ION_ProcessCodeDefinition_Inbound","FSM_ION_ProcessCodeDefinition_Inbound","Yes","No","None"
"FSM_ION_ProcessContactMaster_Inbound","FSM_ION_ProcessContactMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessContactMaster_Outbound","FSM_ION_ProcessContactMaster_Outbound","Yes","No","None"
"FSM_ION_ProcessContract_Outbound","FSM_ION_ProcessContract_Outbound","Yes","No","None"
